#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
1405.0%	281000	-29911.243700890278	305.2655159523243	121	23:53:49
1410.0%	282000	-29736.456776894047	299.68563067844656	121	23:53:48
1415.0%	283000	-29912.71276765573	289.72878825855224	121	23:53:46
1420.0%	284000	-29983.544183462072	298.21421859680567	121	23:53:45
1425.0%	285000	-29766.93404630109	302.3515116295474	121	23:53:43
1430.0%	286000	-30042.674067118467	289.5069464635888	121	23:53:42
1435.0%	287000	-30029.327994776104	300.3843304332703	121	23:53:40
1440.0%	288000	-30222.262001533672	297.7147840301233	121	23:53:39
1445.0%	289000	-30176.119637347612	302.9336490862377	121	23:53:37
1450.0%	290000	-29788.596827244357	302.61424624157434	121	23:53:36
1455.0%	291000	-29865.131946929032	298.14297502726896	121	23:53:35
1460.0%	292000	-29935.478235195624	297.51921624850786	121	23:53:33
1465.0%	293000	-30020.905122637632	301.144167939108	121	23:53:32
1470.0%	294000	-29706.400364243338	307.2542632700942	121	23:53:30
1475.0%	295000	-29942.96583056255	302.405433894607	121	23:53:29
1480.0%	296000	-29766.608589312033	311.7964320936678	121	23:53:27
1485.0%	297000	-29749.619450289058	305.6127510226991	121	23:53:26
1490.0%	298000	-29812.4832937193	313.7180230053219	121	23:53:24
1495.0%	299000	-29673.036776461464	308.22108684668285	121	23:53:23
1500.0%	300000	-29659.230535573035	302.77039700492315	121	23:53:22
1505.0%	301000	-29782.035324494238	301.06252433859123	121	23:53:20
1510.0%	302000	-30078.66438168622	297.93173181072433	121	23:53:19
1515.0%	303000	-29747.68630486561	294.81514324809723	121	23:53:17
1520.0%	304000	-29813.39268549939	299.87711948337187	121	23:53:16
1525.0%	305000	-30034.194148684735	306.07910187591733	121	23:53:14
1530.0%	306000	-30107.21986645728	309.8288297570733	121	23:53:13
1535.0%	307000	-30022.36837913681	299.74997285149095	121	23:53:11
1540.0%	308000	-29964.991911497083	290.34291168033445	121	23:53:10
1545.0%	309000	-29986.528833942284	305.2653650579556	121	23:53:09
1550.0%	310000	-29751.179995230137	315.03623454163477	121	23:53:07
1555.0%	311000	-29938.488098362985	305.4702678531894	121	23:53:06
1560.0%	312000	-29827.99090527129	300.98509494782405	121	23:53:04
